2024-04-26 04:59:24 - [14, 700] loss: 0.141540671531111
2024-04-26 04:59:54 - [15, 100] loss: 0.0934822423942387
2024-04-26 04:59:59 - [15, 200] loss: 0.08291464446112513
2024-04-26 05:00:04 - [15, 300] loss: 0.09838436488527805
2024-04-26 05:00:09 - [15, 400] loss: 0.1740041964314878
2024-04-26 05:00:14 - [15, 500] loss: 0.38943257570266726
2024-04-26 05:00:19 - [15, 600] loss: 0.20846165888011456
2024-04-26 05:00:24 - [15, 700] loss: 0.18790357530117036
2024-04-26 05:00:54 - [16, 100] loss: 0.07303063413128257
2024-04-26 05:00:59 - [16, 200] loss: 0.07685536403208972
2024-04-26 05:01:04 - [16, 300] loss: 0.0785606006346643
2024-04-26 05:01:09 - [16, 400] loss: 0.07282639377284796
2024-04-26 05:01:14 - [16, 500] loss: 0.08995610486716032
2024-04-26 05:01:19 - [16, 600] loss: 0.10179242379963398
2024-04-26 05:01:24 - [16, 700] loss: 0.1039223974198103
2024-04-26 05:01:54 - [17, 100] loss: 0.06197681525256485
2024-04-26 05:01:59 - [17, 200] loss: 0.056031236541457474
2024-04-26 05:02:04 - [17, 300] loss: 0.06974172860849649
2024-04-26 05:02:09 - [17, 400] loss: 0.06934632705524564
2024-04-26 05:02:14 - [17, 500] loss: 0.07988692181184888
2024-04-26 05:02:19 - [17, 600] loss: 0.08683231985196471
2024-04-26 05:02:24 - [17, 700] loss: 0.09794272220693528
2024-04-26 05:02:55 - [18, 100] loss: 0.07070553953293711
2024-04-26 05:02:59 - [18, 200] loss: 0.1031693547591567
2024-04-26 05:03:04 - [18, 300] loss: 0.1484357849881053
2024-04-26 05:03:09 - [18, 400] loss: 0.13047615135088564
2024-04-26 05:03:14 - [18, 500] loss: 0.10327028817497194
2024-04-26 05:03:19 - [18, 600] loss: 0.1443729911185801
2024-04-26 05:03:24 - [18, 700] loss: 0.0941921422444284
2024-04-26 05:03:55 - [19, 100] loss: 0.0529653980769217
2024-04-26 05:04:00 - [19, 200] loss: 0.04437111418228597
2024-04-26 05:04:05 - [19, 300] loss: 0.15969371466897428
2024-04-26 05:04:10 - [19, 400] loss: 0.15390061054378748
2024-04-26 05:04:15 - [19, 500] loss: 0.11123031614348293
2024-04-26 05:04:19 - [19, 600] loss: 0.11831145521253347
2024-04-26 05:04:24 - [19, 700] loss: 0.07539274501614272
2024-04-26 05:04:55 - [20, 100] loss: 0.03725371049484238
2024-04-26 05:05:00 - [20, 200] loss: 0.0376888202317059
2024-04-26 05:05:05 - [20, 300] loss: 0.16465941998991185
2024-04-26 05:05:10 - [20, 400] loss: 0.11752905843779445
2024-04-26 05:05:15 - [20, 500] loss: 0.0937055214587599
2024-04-26 05:05:20 - [20, 600] loss: 0.05959634564816952
2024-04-26 05:05:25 - [20, 700] loss: 0.06291449557524174
2024-04-26 05:05:55 - [21, 100] loss: 0.061132766548544167
2024-04-26 05:06:00 - [21, 200] loss: 0.04259861219674349
2024-04-26 05:06:05 - [21, 300] loss: 0.03860523536917754
2024-04-26 05:06:10 - [21, 400] loss: 0.04312026377534494
2024-04-26 05:06:15 - [21, 500] loss: 0.056270527723245325
2024-04-26 05:06:20 - [21, 600] loss: 0.05731564883957617
2024-04-26 05:06:25 - [21, 700] loss: 0.08212662789039314
2024-04-26 05:06:56 - [22, 100] loss: 0.05414024550002068
2024-04-26 05:07:01 - [22, 200] loss: 0.0315829248377122
2024-04-26 05:07:05 - [22, 300] loss: 0.05247324088122696
