2024-04-26 14:11:10 - [14, 700] loss: 0.5519775828719139
2024-04-26 14:11:34 - [15, 100] loss: 0.469385666847229
2024-04-26 14:11:36 - [15, 200] loss: 0.4738133108615875
2024-04-26 14:11:37 - [15, 300] loss: 0.5035041852295399
2024-04-26 14:11:38 - [15, 400] loss: 0.49220187291502954
2024-04-26 14:11:39 - [15, 500] loss: 0.49946862548589704
2024-04-26 14:11:41 - [15, 600] loss: 0.5196365743875504
2024-04-26 14:11:42 - [15, 700] loss: 0.5379838368296623
2024-04-26 14:12:06 - [16, 100] loss: 0.41903035685420037
2024-04-26 14:12:07 - [16, 200] loss: 0.4400716544687748
2024-04-26 14:12:08 - [16, 300] loss: 0.4594007168710232
2024-04-26 14:12:10 - [16, 400] loss: 0.4934092065691948
2024-04-26 14:12:11 - [16, 500] loss: 0.4854145720601082
2024-04-26 14:12:12 - [16, 600] loss: 0.5040425935387611
2024-04-26 14:12:13 - [16, 700] loss: 0.4770068058371544
2024-04-26 14:12:37 - [17, 100] loss: 0.3988378857076168
2024-04-26 14:12:39 - [17, 200] loss: 0.4094301326572895
2024-04-26 14:12:40 - [17, 300] loss: 0.4559434515237808
2024-04-26 14:12:41 - [17, 400] loss: 0.44094108760356904
2024-04-26 14:12:42 - [17, 500] loss: 0.44969979658722875
2024-04-26 14:12:44 - [17, 600] loss: 0.4214208498597145
2024-04-26 14:12:45 - [17, 700] loss: 0.4763084389269352
2024-04-26 14:13:09 - [18, 100] loss: 0.3510893915593624
2024-04-26 14:13:10 - [18, 200] loss: 0.4232240144908428
2024-04-26 14:13:11 - [18, 300] loss: 0.3999380701780319
2024-04-26 14:13:13 - [18, 400] loss: 0.4186791843175888
2024-04-26 14:13:14 - [18, 500] loss: 0.4425943087041378
2024-04-26 14:13:15 - [18, 600] loss: 0.45366415232419965
2024-04-26 14:13:16 - [18, 700] loss: 0.42429946810007096
2024-04-26 14:13:40 - [19, 100] loss: 0.34846690654754636
2024-04-26 14:13:41 - [19, 200] loss: 0.39337128698825835
2024-04-26 14:13:43 - [19, 300] loss: 0.3712202472984791
2024-04-26 14:13:44 - [19, 400] loss: 0.39574831038713454
2024-04-26 14:13:45 - [19, 500] loss: 0.40195143714547155
2024-04-26 14:13:46 - [19, 600] loss: 0.411207527667284
2024-04-26 14:13:48 - [19, 700] loss: 0.41777836412191394
2024-04-26 14:14:11 - [20, 100] loss: 0.3163003443926573
2024-04-26 14:14:13 - [20, 200] loss: 0.3334193915128708
2024-04-26 14:14:14 - [20, 300] loss: 0.36457541078329087
2024-04-26 14:14:15 - [20, 400] loss: 0.39232372894883155
2024-04-26 14:14:16 - [20, 500] loss: 0.3744608107209206
2024-04-26 14:14:18 - [20, 600] loss: 0.38418551087379454
2024-04-26 14:14:19 - [20, 700] loss: 0.3810968086123466
2024-04-26 14:14:43 - [21, 100] loss: 0.28771180503070354
2024-04-26 14:14:44 - [21, 200] loss: 0.297388281673193
2024-04-26 14:14:45 - [21, 300] loss: 0.35919946178793905
2024-04-26 14:14:47 - [21, 400] loss: 0.3545681372284889
2024-04-26 14:14:48 - [21, 500] loss: 0.3642197421193123
2024-04-26 14:14:49 - [21, 600] loss: 0.34970848754048345
2024-04-26 14:14:50 - [21, 700] loss: 0.3701915270090103
2024-04-26 14:15:14 - [22, 100] loss: 0.28928274035453794
2024-04-26 14:15:16 - [22, 200] loss: 0.2895740111172199
2024-04-26 14:15:17 - [22, 300] loss: 0.3026191595941782
2024-04-26 14:15:18 - [22, 400] loss: 0.3491244904696941
2024-04-26 14:15:19 - [22, 500] loss: 0.3286327964067459
2024-04-26 14:15:21 - [22, 600] loss: 0.350957932472229
2024-04-26 14:15:22 - [22, 700] loss: 0.3468768349289894
2024-04-26 14:15:46 - [23, 100] loss: 0.26917022228240967
2024-04-26 14:15:47 - [23, 200] loss: 0.26391342893242836
2024-04-26 14:15:48 - [23, 300] loss: 0.2885484617948532
2024-04-26 14:15:50 - [23, 400] loss: 0.3155168701708317
2024-04-26 14:15:51 - [23, 500] loss: 0.3198941881209612
2024-04-26 14:15:52 - [23, 600] loss: 0.3348835428059101
2024-04-26 14:15:53 - [23, 700] loss: 0.33157951682806014
2024-04-26 14:16:17 - [24, 100] loss: 0.246357504427433
2024-04-26 14:16:19 - [24, 200] loss: 0.24196104861795903
2024-04-26 14:16:20 - [24, 300] loss: 0.28942346297204496
2024-04-26 14:16:21 - [24, 400] loss: 0.2921827031672001
2024-04-26 14:16:22 - [24, 500] loss: 0.28477607779204844
2024-04-26 14:16:24 - [24, 600] loss: 0.3279986895620823
